order,lineage,role,model_group,model_name,model_id,model_path,template,model_kind,source_id,downloads,evidence_kind
1,instruct,source,source,Qwen3-1.7B,Qwen/Qwen3-1.7B,models/Qwen/Qwen3-1.7B,plain,plain_base,Qwen/Qwen3-1.7B,6077216,
2,instruct,derivative,family,contextboxai__Qwen3-1.7B-FC,contextboxai/Qwen3-1.7B-FC,models/contextboxai/Qwen3-1.7B-FC,plain,plain_base,Qwen/Qwen3-1.7B,15478,
3,instruct,derivative,family,Bangla-AI-1.7B,swapnillo/Bangla-AI-1.7B,models/swapnillo/Bangla-AI-1.7B,plain,plain_base,Qwen/Qwen3-1.7B,,
4,instruct,derivative,family,Qwen3-1.7B_tldr,activeDap/Qwen3-1.7B_tldr,models/activeDap/Qwen3-1.7B_tldr,plain,plain_base,Qwen/Qwen3-1.7B,,
5,instruct,derivative,family,Demeter-LongCoT-Qwen3-1.7B,prithivMLmods/Demeter-LongCoT-Qwen3-1.7B,models/prithivMLmods/Demeter-LongCoT-Qwen3-1.7B,plain,plain_base,Qwen/Qwen3-1.7B,,
6,instruct,derivative,family,Panacea-MegaScience-Qwen3-1.7B,prithivMLmods/Panacea-MegaScience-Qwen3-1.7B,models/prithivMLmods/Panacea-MegaScience-Qwen3-1.7B,plain,plain_base,Qwen/Qwen3-1.7B,,
7,instruct,derivative,family,Qwen3-1.7B-Open-R1-GRPO-Baseline,wzx111/Qwen3-1.7B-Open-R1-GRPO-Baseline,models/wzx111/Qwen3-1.7B-Open-R1-GRPO-Baseline,plain,plain_base,Qwen/Qwen3-1.7B,,
8,instruct,independent,independent,Llama-2-7b-hf,meta-llama/Llama-2-7b-hf,models/meta-llama/Llama-2-7b-hf,plain,plain_base,,,
9,instruct,independent,independent,Meta-Llama-3-8B,meta-llama/Meta-Llama-3-8B,models/meta-llama/Meta-Llama-3-8B,plain,plain_base,,,
10,instruct,independent,independent,Mistral-7B-v0.3,mistralai/Mistral-7B-v0.3,models/mistralai/Mistral-7B-v0.3,plain,plain_base,,,
11,instruct,independent,independent,Qwen2.5-7B,Qwen/Qwen2.5-7B,models/Qwen/Qwen2.5-7B,plain,plain_base,,,
12,instruct,independent,independent,Yi-6B,01-ai/Yi-6B,models/01-ai/Yi-6B,plain,plain_base,,,
13,instruct,independent,independent,falcon-7b,tiiuae/falcon-7b,models/tiiuae/falcon-7b,plain,plain_base,,,
14,instruct,independent,independent,llemma_7b,EleutherAI/llemma_7b,models/EleutherAI/llemma_7b,plain,plain_base,,,
15,instruct,independent,independent,Phi-3-small-8k-instruct,microsoft/Phi-3-small-8k-instruct,models/microsoft/Phi-3-small-8k-instruct,plain,plain_base,,,
16,instruct,independent,independent,chatglm3-6b-base,THUDM/chatglm3-6b-base,models/THUDM/chatglm3-6b-base,plain,plain_base,,,
