step,mean_SCM,median_SCM,n
0,-7.489675406193454,-6.685271073943193,20
1,-3.957093307723288,-3.250965029469274,20
2,-2.364326701277546,-1.2553868224578206,20
3,-1.2452132663730129,0.32914202532137665,20
4,-0.55118836904316,0.6195450387606225,20
5,-0.08256127220552205,0.9886856069777423,20
6,0.31012750417973983,1.110450654264126,20
7,0.5408617789733415,1.1077875972339455,20
8,0.9011131050072958,1.2939548984142246,20
9,1.184806845944101,1.6528480960238285,20
10,1.4919121648322604,2.1701738090314535,20
11,1.8783471837516028,2.385322821753974,20
12,2.232484125985558,2.991139975931814,20
13,2.5212701158885085,3.3463952952785774,20
14,2.8223114473849287,3.418227010495823,20
15,2.9251405495300657,3.563147128979025,20
16,3.2046090614874445,3.882600606679037,20
17,3.1745435740004995,3.8034910204219394,20
18,3.3611243643604922,3.941628259813805,20
19,3.467940900262829,3.941628259813805,20
20,3.655328562840753,3.941628259813805,20
21,3.8177886139581148,3.941628259813805,20
22,3.8878056150907687,3.941628259813805,20
23,4.078009041016565,3.941628259813805,20
24,4.247629089461702,3.941628259813805,20
25,4.426424200408645,3.995489333029363,20
26,4.529227804084976,4.108839304749797,20
27,4.657698662929668,4.108839304749797,20
28,4.9111174176838865,4.432926246064199,20
29,4.9896660211634805,4.44939479363517,20
30,5.045217247517886,4.720212351944653,20
31,5.201002490370267,4.659548925637591,20
32,5.218659083446504,4.7209220835781585,20
33,5.253158547726036,4.828637626763479,20
34,5.324647858820481,4.784799387627392,20
35,5.419788702105626,4.8673470204175455,20
36,5.441142493748109,4.912315758901351,20
37,5.482796961735417,4.8673470204175455,20
38,5.60373567852455,4.933088858584968,20
39,5.614235354118616,5.057525481960228,20
40,5.615856687134662,4.955136163390847,20
41,5.679522796761878,5.244598024961441,20
42,5.762040670422927,5.287052007752316,20
43,5.7455203096313445,5.222400822150631,20
44,5.72903028007374,5.190059159937562,20
45,5.747109465263914,5.1237712808137434,20
46,5.798545928697778,5.363866021694983,20
47,5.744710459638738,5.100344700493624,20
48,5.773845648363769,5.239209262913905,20
49,5.834250605073846,5.469689769066486,20
50,5.80990077706555,5.280295210707983,20
51,5.834958299978814,5.317238202476871,20
52,5.889374303284612,5.495923586684118,20
53,5.869903155917987,5.495923586684118,20
54,5.900473982672787,5.465620702777844,20
55,5.925740637348345,5.495923586684118,20
56,5.954887206577635,5.495923586684118,20
57,5.941913404882196,5.536002536427505,20
58,5.9255987988848595,5.535643943205873,20
59,5.966507805696493,5.56371903953776,20
60,5.961571757483067,5.580267171465117,20
61,5.936601611907154,5.665486573299616,20
62,5.920842000614104,5.5995284765380084,20
63,5.997617904044469,5.696681767480197,20
64,6.012800045790551,5.6390299448689305,20
65,6.023745928121477,5.716696196115902,20
66,6.018739941561221,5.783458182650419,20
67,6.069584896601766,5.7164343447678,20
68,6.058806470654576,5.702032731536768,20
69,6.091274716202195,5.613492862448972,20
70,6.120099695717774,5.723146313745604,20
71,6.151238888968708,5.78094388476027,20
72,6.192864299701649,5.782557194658489,20
73,6.235388632695932,5.796746280831876,20
74,6.260475924990565,5.84358121386186,20
75,6.269082919897999,5.836533613886578,20
76,6.307046532950293,5.8044106618737334,20
77,6.345355192402337,5.748067657452416,20
78,6.406955722199902,5.900522988832554,20
79,6.3842022603835575,5.8144112859658765,20
80,6.353869036432906,5.784931544001248,20
81,6.394086137887234,5.785957469353652,20
82,6.391220953510446,5.711175321654557,20
83,6.358495619928052,5.830634296787842,20
84,6.390101060455998,5.939665084459613,20
85,6.3803050828390875,5.816237652957075,20
86,6.383881558841332,5.857061569305426,20
87,6.385056812673618,5.875961020525522,20
88,6.41895211750074,5.830634296787842,20
89,6.351288006510348,5.854535628702722,20
90,6.266526693272049,5.495923586684118,20
91,6.156425917690561,5.495923586684118,20
92,5.803250328554485,5.453541019428979,20
93,6.263628466662084,5.495923586684118,20
94,6.0560796949837075,5.495923586684118,20
95,6.087035035982319,5.476406974673413,20
96,5.956596214478749,5.495923586684118,20
97,5.94257696214165,5.369161332857898,20
98,5.971087717783677,5.495923586684118,20
99,5.804070640766678,5.480679308901493,20
100,6.08654791302065,5.495923586684118,20
101,6.530438823855091,5.965802754173349,20
102,6.555760100017326,5.956990983372258,20
103,6.491520053793588,6.0195863508039515,20
104,6.517334189147246,5.993212276860778,20
105,6.594751867657545,6.148471998343567,20
106,6.61064321290309,6.156585267081686,20
107,6.554917893106122,6.095494420863185,20
108,6.595654520333019,6.124143801796759,20
109,6.572010797080694,6.170837852532844,20
110,6.587365137035837,6.183763350408329,20
111,6.623436551415919,6.188712263230789,20
112,6.612041004370778,6.162496325537983,20
113,6.578414152678751,6.103841065487146,20
114,6.6313846716623015,6.0578022058086205,20
115,6.588269066446384,5.956640299128779,20
116,6.593198525630281,6.0297552435268855,20
117,6.6103070541683735,6.186677034940102,20
118,6.583339283122132,6.072410172374024,20
119,6.5754028135878855,6.117429460701886,20
120,6.630494718527084,6.079011387155049,20
121,6.646515186758512,6.201825224965411,20
122,6.635953559275242,6.124828387333991,20
123,6.688577217119511,6.129827693792052,20
124,6.653235575643609,6.19731923027989,20
125,6.673207414251199,6.077472042424368,20
126,6.667764066582741,6.089711513631719,20
127,6.676919982427772,6.19731923027989,20
128,6.676861137107227,6.1104078812024945,20
129,6.655737803110211,6.147854439890444,20
130,6.643463074286245,6.132824027739131,20
131,6.615206328133668,6.072410172374024,20
132,6.71418269804624,6.023183550787772,20
133,6.709553481355572,6.107477375928893,20
134,6.708113115779627,6.155988299848963,20
135,6.754605096285452,6.116174589836769,20
136,6.7394625039391824,6.2191918410413,20
137,6.700777026593045,6.128620833085527,20
138,6.734428835611008,6.192396358342879,20
139,6.726137491777668,6.1681093031602785,20
140,6.706386424375603,5.97622413130291,20
141,6.644991457140162,6.051828223646962,20
142,6.709959989548443,6.07217808648106,20
143,6.718587985505775,6.118074652496603,20
144,6.683372280996847,6.161244163406169,20
145,6.5515378069639,6.0457817440419355,20
146,6.702536932684387,6.043943469162011,20
147,6.701948240018647,5.980328544211085,20
148,6.758730094005773,6.042428886836323,20
149,6.765902406190188,6.116170775139516,20
150,6.7671286829046995,6.0824404718466845,20
151,6.8237614906469615,6.0370939852218175,20
152,6.832271268312731,6.162246573112423,20
153,6.825627390866681,6.1057885809795565,20
154,6.841515907046562,6.137214171730037,20
155,6.827703302689625,6.0322811708794575,20
156,6.855836748866385,6.1314667323130365,20
157,6.855047700523232,6.160183951614476,20
158,6.870985966330227,6.238710224925603,20
159,6.834115056532177,6.217527800119839,20
160,6.805379144436499,6.214852657430551,20
161,6.844341314021941,6.187397051884768,20
162,6.8238163037357324,6.159868818873262,20
163,6.785326894354853,6.215539779520082,20
164,6.809298359385568,6.215535964822777,20
165,6.793156627815547,6.039529230368114,20
166,6.797479520571111,6.151962637317833,20
167,6.807537474428409,6.210296786971059,20
168,6.831540937051443,6.200209604386631,20
169,6.779112027586365,6.13906749449346,20
170,6.797910562972268,6.22897457989146,20
171,6.797674188757926,6.235840532635258,20
172,6.800413222846293,6.308032912369043,20
173,6.816162851492765,6.330379703511046,20
174,6.862705911921495,6.521057381457556,20
175,6.828203408965239,6.1603392637894245,20
176,6.787336975242401,6.039717994655446,20
177,6.770722858625691,6.096739559638168,20
178,6.809596868295041,6.030839980814481,20
179,6.851521681614878,6.1560001980996715,20
180,6.789782011182851,6.155996383402355,20
181,6.812821554890872,6.388300847881943,20
182,6.8275880412323104,6.274653502192253,20
183,6.857804268136749,6.513377141827193,20
184,6.856201120705275,6.337203093256731,20
185,6.883980162510033,6.3997507769725,20
186,6.845576737050043,6.335746474192172,20
187,6.898035308183649,6.448800188998893,20
188,6.847255520697064,6.3237105436131475,20
189,6.879342087173446,6.332672926847249,20
190,6.862194636123812,6.271572933810403,20
191,6.838412236338063,6.272855914778635,20
192,6.8508578281872925,6.274995256875046,20
193,6.836411862600073,6.378594539983894,20
194,6.828267351294153,6.273993005870135,20
195,6.829815109620815,6.331932730566274,20
196,6.855486254612546,6.264204823595104,20
197,6.9020042229257825,6.509995363305201,20
198,6.891385923434816,6.619897826296921,20
199,6.865740346721618,6.437764017933817,20
200,6.85019027449002,6.246417062615421,20
